Formulation name,Procedure
Multivitamin Injectable for Veterinary Application,"Heat mixture I to about 65 °C, stir well and add very slowly the hot solu- tion II. Prepare solution III and add to the cool mixture I/II."
Multivitamin Instant Granules (2 - 4 RDA of Vitamins),"Pass mixture through a 0.8 mm sieve and granulate with solution II in the fluidized bed. Fill 6 -12 g of the granules in sachets. If the technology of a fluidized bed is not available, the dry powders of vitamin A, E and B12 should be added after the granulation of the other components."
Multivitamin Oral Gel (vet.),"Heat mixture I to about 60 °C to obtain a clear solution, add slowly the water II to the well stirred solution I, dissolve III and IV in this mixed solution at room temperature, cool to about 6 °C, add V and stirr until all Lutrol F 127 is dissolved. Maintain the cool temperature until the air bubbles escaped."
Multivitamin Oral Gel with Linoleic Acid and Linolenic Acid,Prepare mixture I and heat to about 65 °C. Add the warm water II (65 °C) slowly to the well stirred mixture I. Dissolve at 20 – 25 °C the components III in this clear solution I/II. Cool the obtained solution to about 5 °C and dissolve the rest of Lutrol F 127 (= IV). Maintain the cool temperature until the air bubbles escaped.
"Multivitamin Syrup, I (1- 2 RDA/20 ml)","Heat I and II separately to about 60 °C and mix slowly well stirring to obtain a clear solution. Dissolve III in the hot solution IV to obtain a clear solution. Mix the cool solutions I/II, III/IV and V and adjust the pH value to 4.0 - 4.2. Pass during 10 min nitrogen through the solution and fill in flasks under nitrogen."
"Multivitamin Syrup, II","Heat mixture I to about 65 °C, stir well and add very slowly the warm solution II (65 °C). Mix with solution III and add the syrup IV."
Multivitamin Tablets I (1- 2 RDA of Vitamins),"Mix all components, pass through a 0.8 mm sieve, mix and press with medium compression force (15 kN)."
Multivitamin Tablets II (1- 2 RDA of Vitamins),"Granulate mixture I with solution II, dry, pass through a 0.8 mm sieve, mix with the components III and press with medium compression force."
Multivitamin Tablet Cores with Beta-Carotene (1- 2 RDA of Vitamins),"Pass all components through a 0.8 mm sieve, mix and press with high compression force."
Multivitamin Tablets for Dogs,"Pass all components through a 0.8 mm sieve, mix and press with low compression force."
Multivitamin Tablets with Beta Carotene (1 - 2 RDA of Vitamins),"Mix all components, pass through a 0.8 mm sieve, mix and press with medium compression force."
Multivitamin Two Chamber Ampules,"Chamber 1: Heat mixture I to 60 °C, add slowly the water of the same temperature and mix with solution III. Adjust the pH to about 7, pass nitrogen through the solution and fill in ampules under nitrogen. Sterilize at 120 °C during 10 min. Chamber 2: Dissolve the mixture I in the buffer solution II, keep it during 5 min under nitrogen bubbles, filter through a 0.2 μm membrane and fill in ampules under nitrogen. The pH-value is about 4."
Nalidixic Acid Tablets (500 mg),"Granulate I with the solution II, dry and pass through a 0.8 mm-sieve, add the mixture III, mix during 10 minutes, pass again through a 0.8 mm- sieve and press with low compression force (10 kN)."
Naproxen Tablets (250 mg),"Granulate mixture I with solution II, dry, pass through a 0.8 mm sieve, add III and press with low compression force."
Naproxen Tablets (450 mg),"Granulate mixture I with solution II, pass through a 0.8 mm sieve, add III and press to tablets with low compression force."
Neomycin Gel (0.05%),"Dissolve the parabenes and Lutrol F 127 in water heated to about 80 °C, add the propylene glycol and dissolve neomycin sulfate. Cool to room temperature when the air bubbles escaped."
Neomycin Tablets (250 mg),"Mix all componnents, pass through a 0.8 mm-sieve and press to tablets with low compression force."
Nicotinic Acid (= Niacin) Tablets (200 mg),"Pass all componts through a 0.5 mm sieve, mix and press with very low compression force."
Nifedipine Tablet Cores (10 mg),"Dissolve mixture I in II. Granulate mixture III with solution I/II, sieve, dry the obtained coprecipitate, add IV and press with low to medium compression force."
Nitrendipine Tablets (25 mg),"Pass all components through a 0.5 mm sieve, mix and press with low compression force."
Nitrofurantoin Tablet Cores (100 mg),"Granulate mixture I with solution II, dry, sieve, mix with III and press."
Nitrofurantoin Tablets (100 mg),"Mix all components, pass through a 0.8 mm sieve and press with low compression force."
Norephedrine Syrup (40 mg/10 g),"Dissolve the parabenes in the hot water, add the sorbitol, cool to room temperature and dissolve the other components."
"Nystatin Suspension (100,000 i.u./ml)","Nystatin, Kollidon CL-M, sorbitol and citric acid are suspended in water. Kollidon 90 F is added slowly in small portions under vigorous stirring."
Nystatin Tabet Cores (200 mg),"Granulate mixture I with the solvent II, dry, pass through a 0.8 mm sieve, add the components III and press with medium compression force."
Nystatin Tablets (50 mg and 100 mg),"Mix the components, pass through a 0.8 mm sieve and press with very low compression force."
Omega Fatty Acids Tablet Cores (10 mg EPA + DHA),"Pass all components through a 0.8 mm sieve, mix and press with high compression force."
Oxytetracycline Injectable Solution for Veterinary Application (500 mg/10 ml),"Suspend III in solution II, pass continously nitrogen through the solution to avoid oxidation and add slowly I to the well stirred solution. Adjust the pH with IV."
Oxytetracycline Sustained Release Injectable for Veterinary Application (2.2 g/10 ml),"Mix the water and the Soluphor P, and dissolve the Kollidon 17 PF in the mixture. Heat the solution to 75 °C. Add the sodium formaldehyde sulfoxylate and stir until dissolved. After the magnesium oxide has been suspended, slowly stir in the oxytetracycline until a clear solution is obtained. After the solution has cooled, set to pH 8.5 with aminoethanol."
Oxytetracycline Tablets (250 mg),"Mix all components, pass through a 0.8 mm sieve and press with very low compression force."
Pancreatin Tablet Cores (30 mg),"Mix the components, pass through a 0.8 mm sieve and press with low compression force."
Pancreatin Tablet Cores (130 mg),Mix the components and press with high compression force.
Pancreatin Tablet Cores (300 mg),"Mix the components, pass through a 0.8 mm sieve and press to tablets with low compression force."
Paracetamol (= Acetaminophen) + Caffeine Tablets (500 mg + 50 mg),"Mix all components, pass through a sieve of 0.8 mm and press with high compression force."
Paracetamol (= Acetaminophen) + Doxylamine + Caffeine Effervescent Granules (500 mg + 5 mg + 33 mg/2.1 g),"Granulate mixture I with solution II, dry at 60°C under vacuum conditi- ons, sieve and mix with III. Fill 2.1 g in sachets at maximum 30% of relative atmospheric humidity."
Paracetamol (= Acetaminophen) Instant Granules (250 mg or 500 mg),"Granulate mixture I with solution II, and pass through a 0.8 mm sieve. Formulation No. 1: Fill 1.5 g or 3.0 g in sachets. Formulation No. 2: Fill 1.3 g or 2.6 g in sachets."
Paracetamol (= Acetaminophen) + Ibuprofen + Orphenadin Tablets (250 mg + 200 mg + 100 mg),"Pass all components through a 0.5 mm sieve, mix and press with high compression force."
Paracetamol (= Acetaminophen) + Norephedrine + Phenyltoloxamine Tablets (300 mg + 25 mg + 22 mg),"Granulate mixture I with solution II, dry, pass through a 0.8 mm sieve, add III and press with high compression force."
Paracetamol (= Acetaminophen) + Phenprobamat Tablets (200 mg + 200 mg),"Pass all components through a 0.8 mm sieve, mix and press with high compression force."
Paracetamol (= Acetaminophen) Chewable Tablets (300 mg),"Granulate mixture I with solution II, pass through a sieve and press with medium compression force."
Paracetamol (= Acetaminophen) Effervescent Tablets (500 mg),"Granulate the mixture I with solution II, pass through a 0.8 mm sieve, add III, mix and press to tablets."
Paracetamol (= Acetaminophen) Instant Granules (500 mg),Granulate mixture I with solution II and dry. Fill 2.44 g in sachets (= 500 mg Paracetamol).
Paracetamol (= Acetaminophen) Suppositories (150 mg and 500 mg),Melt the mixture II and suspend the mixture I. Fill the molten mass in the moulds of suppositories.
Paracetamol (= Acetaminophen) Suspension (5% = 500 mg/10 ml),"Prepare the solution of dextrose in water and add the other solid ingre- dients with stirring in the following sequence: citric acid, sodium citrate, orange flavour, Kollidon CL-M and paracetamol. A white, homogeneous suspension is obtained."
Paracetamol (= Acetaminophen) Syrup (5% = 500 mg/10 g),"Dissolve first Kollidon 25 and then the other solid components in the solvent mixture of glycerol, propylene glycol and water."
Paracetamol (= Acetaminophen) Syrup for Children (2.5% = 250 mg/10 ml),"Dissolve Kollidon in water, add paracetamol and cyclamate, heat to 50 °C and stir to obtain a clear solution. Dissolve the flavours and mix with glycerol."
Paracetamol (= Acetaminophen) Tablet Cores (500 mg),"Granulate mixture I with solution II, dry, sieve and mix with III. Press with high compression force of 25 - 30 kN."
Paracetamol (= Acetaminophen) Tablets (500 mg),"Pass the lubricant through a 200 µm sieve, mix all other components, pass through a 0.8 mm sieve, add the lubricant and press with high compression force of 25 - 30 kN."
Paracetamol (= Acetaminophen) Tablets for Children (200 mg),"Pass all components through a 0.8 mm sieve, mix and press with medium compression force."
Phendimetrazin Tablets (35 mg),"Pass all components through a 0.8 mm sieve, mix and press with medium compression force."
Phenindion Tablets (50 mg),"Mix all components, pass through a 0.8 mm sieve and press with low compression force."
Phenolphthalein Tablet Cores (200 mg),"Granulate mixture I with solution II, mix with III, pass through a 0.8 sieve and press with low compression force."
Phenytoin Oral Suspension (5%),Dissolve the preservative and Kollidon 90 F in water and suspend Kollidon CL-M and phenytoin.
"Phenytoin Sodium Tablets (100 mg), DC","Mix all components, pass through a 0.8 mm sieve and press with low compression force."
"Phenytoin Sodium Tablets (100 mg), WG","Granulate mixture I with solution II, dry, pass through a 0.8 mm sieve, mix with III and press with high compression force."
Phenytoin Tablets (100 mg),"Mix all components, pass through a 0.8 mm sieve and press with low compression force."
Piroxicam + Dexpanthenol Gel (0.5% + 5.0%),"First mode of preparation: Prepare the solution of piroxicam in propylene glycol and dexpanthenol at 70 – 80°C, add ethanol and Lutrol F 127. Stirr the highly viscous mixture, add 50% of the hot water (70°C), adjust the pH with triethanolamine to about 7, add the rest of the water, cool to room temperature when the air bubbles escaped and adjust the pH to about 8. Alternative mode of preparation: Dissolve piroxicam in propylene glycol, dexpanthenol and triethanolamine. Cool the mixture of Lutrol F 127 and water to about 5 °C and mix with the piroxicam solution. Add the ethanol. Maintain the cool temperature until the air bubbles escaped."
Piroxicam Water Dispersible Tablets (20 mg),"Mix all components, pass through a 0.8 mm sieve and press with low to medium compression force."
Placebo Tablets,"Mix the components, sieve and press."
